Unnamed: 0,Source File,Joined Title,Joined Description,Qualified categories
0,hackgt_2021.csv,Zara,"Inspiration
Inspiration for this mobile app came after a surprising realization I made about one of my professor's average response time (5 mins) to questions on Piazza. After seeing the response time, I could not help but feel thankful and sorry at the same time; as although the short response time meant that his students received a fast response to their questions at any time, it also meant that the professor had to keep working although he was not on the clock, which to me felt a bit unfair.
What it does

Functions as an academic Q&A platform for any education level.
Centered around students asking questions about course content, and their fellow students answering their questions with the instructors(professors and TAs) serving as moderators on the platform.
Students can gain reward points based on both the number of likes their answers accumulate and whether an instructor endorses the answer.
While I do recommend that the points earned answering questions be used towards credit grades, what the reward points can be redeemed on is completely up to the discretion of the course instructor.

How we built it
Challenges we ran into

Being unable to think straight due to getting less than 4 hours of sleep.
## Accomplishments that we're proud of
I've made it through my first hackathon.
## What we learned

What's next for Zara
I'll most likely work on adding several new features to the app and also work on using a more efficient database structure for storing app data.


Built With
dartfirebasefirestoreflutter


Try it out



github.com","Best Education Hack, Best First-Time Hack"
1,hackgt_2021.csv,Mindful Bytes,"Inspiration
Have you ever eaten with your eyes? What about buying a bunch of fruit and then completely forgetting about it? Globally, we waste about 1.4 billion tons of food every year. The issue with food waste, especially in America, is concerning to us and we decided we wanted to create an app that combats this issue in a sustainable way by incorporating healthier and more sustainable practices into things you already do everyday. 
After researching the issue more, three statistics lead us to prioritize three key features in our app*:

More than 80% of Americans discard perfectly good food because they misunderstand expiration labels
Wasting food contributes to 11% of the world’s greenhouse gas emissions
43% of waste comes from the home
Our app focuses on incorporating three ways to combat food waste whilst also encouraging users to live healthier lives by suggesting recipes that include ingredients they already have at home, sharing food with a community (such as college students who live in the same dorm), and getting notifications when food is going to expire and how to compost it. 

What it does
The app has a number of features from keeping a living inventory of what's in one's kitchen (categorized from freezer to fridge to beverages). Additionally, one can input dietary restrictions and food preferences which will then impact what recipes the algorithm suggests they make based on those and their recipe history. The app also notifies users when food will expire soon and lets them either share the food with their community, see recipes which will use those ingredients, or give resources on how to compost the item if applicable. The app suggests recipes with what's in your kitchen and one can update what's in their kitchen via many means such as scanning the item or receipt.
How we built it
On the front end side we used Expo and React Native. We used Figma to develop our designs for the front end. As for the backend we primarily used Express. To record our data we used MongoDB for the database and hosted it on Google Cloud. For our Machine Learning Image Classification we also used Google Cloud with the Cloud Vision API.  To implement the recipe recommendation algorithm we used data from the Spoonacular API.
Challenges we ran into
As for most hackathons, time and remaining sharp with little to no sleep seems to be the biggest obstacle. Besides this we ran into a coupe more challenges we had to overcome:
Learning how to incorporate different APIs

Getting the front end to work well with the back end
Creating the algorithms for suggesting recipes based on their preferences
Finishing all the screens we designed for; we overestimated how quickly we could finish a screen because it takes awhile to get the details right so we designed a lot of screens in Figma that won’t end up getting finished 

Accomplishments that we're proud of
We were very proud of all we accomplished in the past 36 hours! Some of our highlights are:
Creating an app that can have a sustainable real world impact on a real issue that we should all be working on ways to combat

Using Figma to document our design iterations and making comprehensive designs to be implemented later
Incorporating lots of visuals and options that can accommodate users of numerous backgrounds, making the app very accessible and intuitive
Designing a really cute logo :)
Overall, combining a lot of different and complex pieces of technology and having them all work together

What we learned
We're all really proud of learning how to divide up the work to specializations that way we all got to work on pieces of the project we were interested about and enjoyed doing. We're also glad we got to learn more about this pertinent issue and how we can make a difference. From a tech standpoint, individually Rachel learned more about how the front and back end communicate and work together along with the importance of good designs and implementing them; Munim learned about making API calls and using databases in a project; Michael learned about implementing Machine Learning features with Google Cloud; Jesse learned about understanding scope of a detailed project like ours and staying realistic with goals in a high pressure situation. 
What's next for Mindful Bytes
We had many stretch goals we ran out of time for, these include:

Community recipes → friends within communities can plan events like friendsgiving within the app to pull ingredients together to make stuff and share grocery lists
Publish it to the app store for all to use
Implement the rest of our designs on Figma that we didn’t have time 
Adding live image recognition since right now it only works for still images 
Adding a hardware feature that will detect expiring food within fridge

Links
Figma Designs Walkthrough: https://youtu.be/W_tzfcISslM
Demo of App: https://www.youtube.com/watch?v=SEQGXXPl1ek
*stats from: https://www.rts.com/resources/guides/food-waste-america/ 


Built With
expo.ioexpress.jsgoogle-cloudmongodbreact-native


Try it out



github.com



github.com



www.figma.com



docs.google.com



www.figma.com","Best Use of Google Cloud API, Best Sustainability Hack"
2,hackgt_2021.csv,Today@Tech,"Inspiration
After tiresome days at classes and organization meets, the last thing you want is to walk endlessly from one place to another. However, with more than 400 acres to cover, it’s inevitable at Georgia Tech – evidenced by the daily 20,000+ steps recorded on my Fitbit. Furthermore, amongst the scramble of hell-week and innumerable assignments, who has the time or brainpower to plan out every aspect of their day?
Therefore, Today@Tech creates an efficient, personalized schedule that solves this problem for all those Yellow Jackets aimlessly doing multiple rounds of Freshman Hill. 
Yes, we understand walking around campus is healthy, but instead of spending an additional half-hour sweating during an afternoon commute, you'd rather spend it on a treadmill in the CRC - feel free to add it as an event :)
What it does
The user is able to input events in a day at Georgia Tech, mentioning the location(s) of these events, their duration, and/or the timeframes(s) that work for the event. Our algorithm optimizes the user's schedule to minimize the distance walked throughout the day and returns an optimal schedule. Not only does Today@Tech optimize your schedule based on more prevalent events like classes and organization meets but it also considers daily requirements like where you should eat (and even computes the most efficient place for you to eat based on the time taken to and from the location), take a break and finally, finish your day. 
How we built it
Firstly, we built a Python model that took user inputs for the name, location, duration, and timeframe of the event. Next, the program validates the parameters entered by the user. For instance, it checks whether the inputted location is within a defined radius of the Google Maps API, which includes campus and its neighboring vicinity. Similarly, the timeframe is broken down into 'Start Time' and 'End Time', converted into DateTime objects, and compared with the event duration to ensure that the timeframe exceeds it. 
Next, we created an (n x n) time-matrix using the Google Maps API, which computes the time taken to walk between each of the 'n' user-inputted locations. Using the hamiltonian circuit brute force algorithm, we generate the most efficient schedule for the user.
After completing the backend, we moved to the user interface where we used React.js. Lastly, we used flask to integrate python into the React.js environment and returned the result in the user interface.
Challenges we ran into
Our main challenge was integrating our UI and python files we had coded. We initially worked with Swift on Xcode, due to Apple’s robust app interface, but realized that integrating python into Swift was very difficult. Therefore, late into our project, we shifted from Swift to React.js, changing our UI from an IOS application to a web application. While this made integrating python into the code a lot more possible, it was still rather difficult and we sifted through a number of flask files to understand how to connect our backend and frontend to run properly.
We were unsure about which mathematical algorithms best computed the schedule for us. We looked into prevalent ones such as the Minimax algorithm - however, although it had the same function, it was better suited towards optimizing strategic games. We even looked at Queuing theory, which had some interesting ideas that worked with our goal but its algorithmic basis lied in ordering events slightly differently from what we required. We eventually used a combination of the AI-based hill climbing algorithm and brute force techniques to reduce the search subspace and optimize the daily schedule.
We initially used the AI based hill climbing algorithm for optimisation but our state space was too large and we were using discrete variables. Therefore, we switched to hamiltonian circuit brute force algorithms, which is capable of computing the most efficient schedule through graph theory.
What we learned
Having little or no experience in UI/UX development, we learnt Swift UI almost from scratch, as well how to integrate Python into the Swift environment. We also learnt the AI-based hill climbing algorithm as well as how to use heuristics in optimisation algorithms. We also learned how to apply mathematical tools in computing - we applied linear algebra concepts in constructing and using the time matrix between different locations. Lastly, we designed the user interface in a huge time crunch, learning how to split tasks within a team, and how to make an efficient and well designed interface.
What's next for Today@Tech
While this version has the essential features, there are several additional features such as integrating the GT bus schedule, allowing users to use cars or other modes of transports through an amended version of google API so students can plan their day outside the Georgia Tech campus too. Lastly, if we can integrate this with Tech's system, we can even allow users to choose the best locations for them to study during their day based on free locations available and much more.


Built With
google-mapspandaspythonreactui


Try it out



github.com","Best Use of React, Best Use of Google Cloud API, Best Hack for College Students"
3,hackgt_2021.csv,CollabCar,"Inspiration
Keeping in mind the noticeable incline in pollution levels, carpooling has proved to be one of the most effective ways to curb pollution. Carpooling would help decrease fuel usage accounting for a more sustainable form of living. College students often face the brunt of having a lack of mode of transportation at their institutions. Planning to carpool provides a cost-effective and environment-friendly solution for a group of people from the same community to commute from one place to another. CollabCar bridges the realms of sustainable living and cost reduction, thus providing students, faculty, and staff of the same institution an easily accessible mode of conveyance and a great way to network with fellow students! 
What it does
CollabCar provides an interactive platform for people from the same institution to carpool when going to the same place/event. The application allows users to register themselves as the host or ""carpool-ers"" and accordingly create a post about the upcoming event and form groups with fellow users from the same community. Subsequently, users are enabled to join a ""group"" to get to the said event, in a safe and fun way! CollabCar gets members of the same institution to get to a place safely and make friends along the ride!
How we built it
We built a five-screen cross-platform inclusive application using Flutter for the frontend.  We connected our frontend to Firebase cloud database to set up a real-time network between user and server. Additionally, we created components and constants files on Flutter to build a theme in order to provide a seamless user experience. 
Challenges we ran into
Our biggest challenge was fetching real-time data while implementing Firebase onto our front-end. Further technical challenges arise while dealing with null values and other code-safety concerns. Designing a flexible and adaptive UI was definitely a challenge but we kept up with a standard theme with great user experience. Finally, merging conflicts while collaborating on GitHub was a hectic process. All of these challenges were a learning experience and helped us widen our technical skillset.
Accomplishments that we're proud of
HackGT 8 was our first hackathon and our main goal was to expand our individual technical skill-sets. In a short span of time, we managed to learn the fundamentals of Flutter. Considering the complexity of our project, we are particularly proud of accomplishing our tasks under a time crunch. Being rookies in the world of hackathons, we had to brainstorm ideas, design UI, collaborate on GitHub, and multiple other problems for the first time. We were able to collaborate efficiently and learn the necessary tools and frameworks required to build our project.
What we learned
We learned that 36 hours is enough time to build a working app if we work hard and communicate efficiently. Planning out our project was essential in order to understand the flow of screens. We understood that delegating work based on our individual strengths would optimize our efficiency.
What's next for CollabCar
Our focus during this hackathon was limited to implementing a functional application to allow the user to create an event or join one.  Additional functionality that could be added in the future includes a Maps Integration of the exact location and messaging service for users in the same group.


Built With
dartfirebaseflutterlove


Try it out



github.com","Best Use of Firebase, Best Hack for College Students, Best First-Time Hack"
4,hackgt_2021.csv,Image Anonymizer,"Inspiration
The inspiration for this project was to allow for individuals' anonymity to be maintained in pictures without taking away from the intent of the original image through adding a bulky black box or pixelization over their face.  
What it does
This project takes in an input image and uses gans to generate 10 random fake faces for each individual in the photo, and then the algorithm analyzes which of the faces are most similar to the originals and replaces the faces in the original input image with the most similar gan generated face.   This helps maintain privacy without detracting from the original image with traditional censorship methods.
How we built it
We created an interface for the API that allowed the user to submit an image to censor.  We used Facebook's stylegan as a basis for the random face generator. Candidate faces are extracted from the target image and an AutoEncoder is used to identify the closest synthetic face. This new face is then aligned using facial features and blended into the original image.
Challenges we ran into
We ran into several challenges during this contest including the facial replacement.  Our first few attempts  left a harsh box with a black outline on certain edges of the gan generated face after replacement, so we had to adjust the picture input and code to eliminate any harsh contrast between the stitched images.  Since the point of our project was to maintain the effect of the original image after censorship this was an important step we had to get right.  Further, it was a challenge to think of how to maintain anonymity by adjusting facial features while also keeping realistic looking features/visuals when replacing faces.  We realized that by just randomly assigning a gan generated face we would run into problems on certain runs such as changing key features like an individual's gender.  This is where the several gan generated images and similarity comparison with the input image came in to help decrease major changes in the original image that could possibly detract from the image.
Accomplishments that we're proud of
We are very proud of our final project and how real the facial replacement looks.  We feel that the original image is still maintained, and many individuals would not be even able to realize that the image run was even censored if they had not seen the original image input.  We feel like this is a natural next step to helping protect individuals' privacy in an age where capturing images and videos is extremely pervasive part of our culture.  This will allow for privacy while maintaining the general effect/impact we hope to capture with these photos and videos.  Our team sees many applications for this project and are very proud to see what a strong product we could create in such a short period of time.
What we learned
We were able to build off our team's existing knowledge of gans, image processing, APIs, and user interface to think of a unique application of these skills.  Further, we were able to learn more about the application of these methods when looking into current best practices and code that is available to read about and adjust for our application.  Finally, we learned about the nuances of working with images and getting them to look real.  Even a slight deviation or issue with the algorithm and its application can lead to major visual distortions that takes away from the image's impact.
What's next for Image Anonymizer
We are hoping to look into taking this project to the next step by expanding application of the anonymized gan generated features.  One way we intend to do this is by applying this technique to videos.  There are several applications were an individuals image would want to be censored, and this seems like a natural next step.  However, the large amount of data and therefore processing power would definitely make it a difficult undertaking that would need more time.  Further, we hope to improve the algorithms ability to take in and process faces at all angles.  Finally, we may look into how to adjust distinctive landmarks in the background to further protect the individual's privacy.


Built With
apicvfacedetectionflaskpythonpytorch


Try it out



github.com","Best Consideration of Security and/or Privacy, Most Technically Challenging"
5,hackgt_2021.csv,MAPABLE,"Inspiration
It all starts with a friend of us. As a freshman at Tech, he fell off his scooter when he went down the freshman hill. With the broken leg bone, the places she used to visit with the scooter took him forever because of the hilly road on campus. Worse, this happened during Hell's week, which only made it harder for him to figure out his way around campus in such a short time. 
The Map applications on our phone sometimes recommend the shortest but very steep routes, or maybe it doesn't show whether the route has stairs (which are not wheelchair, crutches - friendly) and that’s the best we can use. We want to help all students that are bothered by the hilly roads to have a better experience on campus.
What it does
MapAble helps users plan out the route that is the friendliest for the way of transportation users choose. A detailed route will be displayed on the map and also in the form of plain text on our website. The routes we give out might not be the shortest but are definitely the easiest for the user to take. 
How we built it
We built Mapable using Javascript, HTML, CSS, and React. 
We utilized Google’s Maps API, specifically the Direction API, Elevation API to fetch route, elevation points data.
Challenges we ran into
We could fetch JSON data from the Google API from our own laptop, but couldn’t figure out how to integrate the Api Key into our application
Accomplishments that we're proud of
We are a team of 4 Emerging hackers, with not much experience with a full stack web development process, so we had to learn everything quickly. We are proud of our innovative idea as well as how we managed to utilize different frameworks in our first hackathon.
What we learned
API interactions, fetching and parsing useful data, and devise a simple mathematical model to justify “efficiency”.
What's next for MAPABLE
In the future, we are going to offer even better solutions by taking weather and availability of bike racks and elevators into consideration. More Importantly, we also want to serve a broader group of people. 


Built With
csshtmljavascriptreactthe-google-maps-api


Try it out



sydbalcom.github.io



github.com","Best First-Time Hack, Best Use of Google Cloud API"
6,hackgt_2021.csv,CommitBot,"Inspiration
We were inspired by seeing how our contribution graphs started to fill up with commits on Github, we had the idea to create CommitBot. CommitBot provides users with all the clout of being a hardworking software developer without having to do any of the work!
What it does
CommitBot creates a private target repository in the user's account. That way the people visiting your profile can't seem the details of them and it looks like you are hard at work on a super secret project. CommitBot will then create a variable amount of commits (between 0 and 10) to this repository each day to vary the activity levels (and thus your contribution graph).
How we built it
CommitBot leverages the PyGithub API to interact with the target repository. It also uses Github actions to automatically run the workflow each day and thus reaching a new commit block on the contributions graph.
Challenges we ran into
We originally wanted to create a mobile app for a betting app idea that our team had. However, it became clear that we were not going to finish the project in time, so we decided to pivot to CommitBot. Mobile apps are hard.
What we learned
The biggest thing we learned was how to use Github actions to automatically configure and run the main python files. None of us were super familiar with it before this weekend and we spent like 2 hours trying to debug a weird problem we had. Turns out it was a typo...


Built With
githubgithub-apipython


Try it out



github.com",Most Creative Use of GitHub
7,hackgt_2021.csv,Opportuno,"Inspiration
One evening, as we sat at the tables in the campus recreation center, we picked up some free samples of food that was part of a new restaurant opening promotion. A few hours later, we noticed how the staff begin to pack up, but instead of packing the leftover samples, it was all discarded in the trash -- 10 servings worth of food which could have been consumed by hungry students were just discarded. 
This was not the first time it happened and such is a cause of unnecessary food waste. One possible solution to counter this problem is to inform other hungry college students on campus about leftover food from events/promotions. Some group chats exist for this reason, but they are exorbitantly large and have a lot of spam with very little moderation. 
Our idea was to create an app powered by the community with custom alerts and more organization. 
What it does
The app will list any current public events on campus providing free food/samples to students. Other students can add events or update the status of currently running events. Contributing to the database gives users more points which can be used to unlock perks.
How we built it
We used Flutter on VS Code to develop an android app which has four pages. The home page lists all the current events offering free food on campus with live updates of its status. The leaderboard shows the rankings of all the contributors to the database. An interactive map (powered by a Google Maps API) shows the location of these events. A form to create an event is also available.
Challenges we ran into
We initially started coding on Android studio which turned out to make our work more complicated. We were also discussing what a good method for storing data would be. Eventually, we settled for flutter which was integrated into VS Code making it more convenient for everyone to make his/her contributions and decided to use a local database for the demonstration.
Accomplishments that we're proud of
We are three EE majors that created an app from scratch in less than 36 hours with little to no prior experience in app development and hackathons. If this has taught us anything, it is that we can learn and achieve greatly with the right motivation and drive.
What we learned
Working with a tight deadline created a lot of pressure for our team, but we learned how to strive through struggles while also having a lot of fun. Communication was super important and celebrating the little things motivated us to keep going. 
What's next for Opportuno
The beautiful part about this idea is that it can be scaled and improved a lot. Some of the ideas we want to implement include a sorting algorithm, a proximity filter, a cross-checking feature that eliminates duplicates or updates existing events, and a point system. Given more time, we would have wanted to create an online database.


Built With
fluttergithubstack-overflowvisual-studio


Try it out



github.com","Best First-Time Hack, Best Use of Google Cloud API, Best Hack for Food Security"
8,hackgt_2021.csv,BrakeWizard,"Inspiration
Our team member Ava is an avid rollerblader, and she often remarks about how difficult it is even for her to stop when she builds up speed. She even went out of her way to purchase a rubber attachment to the back of her rollerblade that used friction to stop, but at the cost of her ankle grinding up against the ground. We started to think of a safer mechanism that utilizes technology to automatically help bladers come to a halt.
What it does
BrakeWizard works through an Android App that constantly runs on the skater's phone during the duration of their skate. When they push the button on their phone, the motor wedges a piece of thick rubber into the ground at an angle that provides static friction to the ground while also keeping the skater stable. This helps the skater to stop easier, without hurting their ankle or knees.
How we built it
We built an Android Application with a simple button that activates the wedge. Bluetooth provides communication between the application and an ESP32 Microcontroller, which sends signals to an L298N motor controller that actuates the motor that the wedge sits on. All of this is connected to two laser-cut pieces of wood and fits snugly across the sides of the skate, connected via some clever wiring.
Challenges we ran into
The Bluetooth communication was the largest hurdle because we originally had an Arduino UNO which required an external module to communicate via Bluetooth. We switched from that to an ESP8266 before eventually settling on the ESP32 that we used for the project.
Another hurdle was fitting all the electronics on the skate since there were a lot of individual modules required for the project. However, we were able to fit everything we needed on the sides of the shoe thanks to some laser-cutting, some wood screws, and some zip ties.
Accomplishments that we're proud of
The motor actuates very quickly in response to the button press and provides instant pressure to slow down the skate. The rubber brake also works at an acute angle which doesn't propel the skater forwards or backward, but rather allows them to stay still while coming to a stop.
What we learned

How to wire an ESP32, motor controllers, motors, and a 9V power supply in a circuit
How to set up Bluetooth communication for small microcontrollers
How to use MIT App Inventor, Android Studio, and Java to program an application

What's next for BrakeWizard

Use stronger motors/power supplies to provide more power to the brake
Fully automated brake sequence (ie. slowly applies the brakes to a varying degree over time)

Thank you for your time and consideration!


Built With
androidbluetoothelectronicsesp32javamotor


Try it out



github.com","Best Android App, Best Hardware Hack"
9,hackgt_2021.csv,Searchify,"Inspiration
We were inspired to create something that made parts of our regular lives easier with data, and also combine our interests in humanities and STEM. 
What it does
Searchify is designed to quickly create curated playlists based on the most popular songs from a specific theme. 
How we built it
We used the Spotipy Library, which is a Python library designed to read the Spotify library. We also used Flask to create the web app. Finally, for the UI, we used an assortment of different UI tools
Challenges we ran into
None of us had much web design experience, so turning our python code into a flask app was difficult. We also had issues with the cache causing errors that seemed unexpected. 
Accomplishments that we're proud of
We were able to design a web app with little to no web experience. We’re also really proud of our presentation video. Finally, our algorithm to decide what songs are the best is an accomplishment to us. We used logistic regression to ensure that the popularity of songs was adjusted properly and that some didn’t overpower others. 
What we learned
We learned how to build a larger project, split it effectively, and work cohesively. We learned a lot about reading from Python Libraries.
What's next for Searchify
We would like to add multiple keyword search, where the user could select multiple words. Another feature is better weighting on which songs are considered “best” -- we would like to incorporate the recency, and even the user’s personal tastes into the algorithm.


Built With
aftereffectsflaskphotoshoppythonspotify


Try it out



github.com



searchifyhackgt.herokuapp.com",Best First-Time Hack
